DATE,DIVIDENDS
2002-06-05,0.057
2003-10-05,0.11599999999999999
2004-01-05,0.14400000000000002
2005-07-05,0.1895
2006-04-28,0.295
2007-12-05,0.465
2008-08-05,0.65
2009-08-05,0.63
2009-08-05,0.63
2010-04-16,0.45
2011-04-15,1.15
2012-12-04,2.59
2013-11-04,3.2
2014-06-17,3.2
2015-06-15,0.45
2016-06-14,1.97
2017-06-14,6.0
